Instancia, n, K, m, z, S, Tiempo CPU, nodos generados
max_div_15_2.txt, 15, 2, 3, 10, 2, 27.3727, 8 0 6 , 0.0114982, 56
max_div_15_3.txt, 15, 3, 3, 10, 2, 31.8685, 4 6 11 , 0.0114421, 38
max_div_20_2.txt, 20, 2, 3, 10, 2, 21.9961, 8 17 18 , 0.0262791, 18
max_div_20_3.txt, 20, 3, 3, 10, 2, 30.8727, 12 13 7 , 0.0291914, 12
max_div_30_2.txt, 30, 2, 3, 10, 2, 28.9443, 1 8 27 , 0.095573, 18
max_div_30_3.txt, 30, 3, 3, 10, 2, 34.2905, 5 23 16 , 0.120771, 24

Instancia, n, K, m, z, S, Tiempo CPU, nodos generados
max_div_15_2.txt, 15, 2, 4, 10, 2, 49.8268, 8 6 0 5 , 0.11858, 365
max_div_15_3.txt, 15, 3, 4, 10, 2, 59.7638, 8 10 4 11 , 0.086624, 113
max_div_20_2.txt, 20, 2, 4, 10, 2, 40.0023, 2 8 1 18 , 0.312282, 245
max_div_20_3.txt, 20, 3, 4, 10, 2, 56.6903, 16 12 13 2 , 0.230512, 148
max_div_30_2.txt, 30, 2, 4, 10, 2, 52.7712, 8 27 1 10 , 0.787835, 136
max_div_30_3.txt, 30, 3, 4, 10, 2, 63.702, 23 5 16 13 , 0.706208, 132

Instancia, n, K, m, z, S, Tiempo CPU, nodos generados
max_div_15_2.txt, 15, 2, 5, 10, 2, 79.1295, 0 8 3 5 6 , 0.942346, 7072
max_div_15_3.txt, 15, 3, 5, 10, 2, 96.0858, 13 4 8 11 3 , 0.332096, 797
max_div_20_2.txt, 20, 2, 5, 10, 2, 63.6517, 1 17 18 8 13 , 2.11822, 3293
max_div_20_3.txt, 20, 3, 5, 10, 2, 92.8297, 16 12 2 13 7 , 0.687855, 504
max_div_30_2.txt, 30, 2, 5, 10, 2, 80.9102, 1 8 10 27 12 , 9.63386, 1772
max_div_30_3.txt, 30, 3, 5, 10, 2, 99.592, 5 13 14 16 23 , 8.47563, 1457
